company,cik,ticker,form,fileDate,accessionNumber
"Lemonade, Inc.  (LMND)  (CIK 0001691421)",0001691421,LMND,10-K,2026-02-25,0001691421-26-000016
UBI Blockchain Internet LTD-DE  (CIK 0001500242),0001500242,,10-K,2018-12-07,0001493152-18-017153
Dominari Holdings Inc.  (DOMH)  (CIK 0000012239),0000012239,DOMH,10-K,2026-03-31,0001213900-26-036897
"HENNESSY ADVISORS INC  (HNNA, HNNAZ)  (CIK 0001145255)",0001145255,HNNAZ,10-K,2025-12-03,0001437749-25-036795
"Inuvo, Inc.  (INUV)  (CIK 0000829323)",0000829323,INUV,10-K,2024-02-29,0001654954-24-002423
SAIA INC  (SAIA)  (CIK 0001177702),0001177702,SAIA,10-K,2026-02-24,0001193125-26-067030
UBI Blockchain Internet LTD-DE  (CIK 0001500242),0001500242,,10-K,2018-12-07,0001493152-18-017153
"Lemonade, Inc.  (LMND, LMND-WT)  (CIK 0001691421)",0001691421,LMND,10-K,2023-03-03,0001691421-23-000032
"E2open Parent Holdings, Inc.  (ETWO, ETWO-WT)  (CIK 0001800347)",0001800347,,10-K/A,2022-04-19,0000950170-22-005763
"E2open Parent Holdings, Inc.  (ETWO, ETWO-WT)  (CIK 0001800347)",0001800347,,10-K,2021-05-05,0001104659-21-061271
"SEMrush Holdings, Inc.  (SEMR)  (CIK 0001831840)",0001831840,,10-K,2026-03-02,0001628280-26-013259
Odysight.ai Inc.  (ODYS)  (CIK 0001577445),0001577445,ODYS,10-K,2026-03-19,0001493152-26-011691
Odysight.ai Inc.  (ODYS)  (CIK 0001577445),0001577445,ODYS,10-K,2025-03-26,0001641172-25-000677
"RadNet, Inc.  (RDNT)  (CIK 0000790526)",0000790526,RDNT,10-K,2023-03-01,0000790526-23-000003
"BMP AI Technologies, Inc.  (BMPA)  (CIK 0001130781)",0001130781,BMPA,10-K,2026-05-01,0001477932-26-002711
8X8 INC /DE/  (EGHT)  (CIK 0001023731),0001023731,EGHT,10-K,2024-05-21,0001023731-24-000042
APPLIED MATERIALS INC /DE  (AMAT)  (CIK 0000006951),0000006951,AMAT,10-K,2024-12-13,0000006951-24-000044
Envista Holdings Corp  (NVST)  (CIK 0001757073),0001757073,NVST,10-K,2026-02-12,0001757073-26-000011
"DUOS TECHNOLOGIES GROUP, INC.  (DUOT)  (CIK 0001396536)",0001396536,DUOT,10-K,2023-03-31,0001553350-23-000241
HEALTH DISCOVERY CORP  (HDVY)  (CIK 0001141788),0001141788,,10-K,2011-03-31,0001188112-11-000819
"Lemonade, Inc.  (LMND, LMND-WT)  (CIK 0001691421)",0001691421,LMND,10-K,2025-02-26,0001691421-25-000031
GHST World Inc.  (GHST)  (CIK 0001121795),0001121795,GHST,10-K,2025-10-14,0001079973-25-001605
OneMeta Inc.  (ONEI)  (CIK 0001388295),0001388295,ONEI,10-K/A,2026-05-04,0001493152-26-020948
OneMeta Inc.  (ONEI)  (CIK 0001388295),0001388295,ONEI,10-K,2026-04-15,0001493152-26-016782
"Lemonade, Inc.  (LMND, LMND-WT)  (CIK 0001691421)",0001691421,LMND,10-K,2024-02-28,0001691421-24-000026
Zeta Global Holdings Corp.  (ZETA)  (CIK 0001851003),0001851003,ZETA,10-K,2024-02-28,0000950170-24-021671
"DUOS TECHNOLOGIES GROUP, INC.  (DUOT)  (CIK 0001396536)",0001396536,DUOT,10-K,2024-04-01,0001079973-24-000473
"Trinity Capital Inc.  (TRIN, TRINI, TRINZ)  (CIK 0001786108)",0001786108,TRINZ,10-K,2026-02-25,0001193125-26-068600
"Video River Networks, Inc.  (NIHK)  (CIK 0001084475)",0001084475,NIHK,10-K,2023-04-18,0001493152-23-012663
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K,2024-05-28,0001493152-24-021634
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K,2019-08-26,0001161697-19-000352
Hartford Great Health Corp.  (HFUS)  (CIK 0001482554),0001482554,HFUS,10-K,2018-11-14,0001079973-18-000628
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K,2021-06-01,0001161697-21-000289
"Video River Networks, Inc.  (NIHK)  (CIK 0001084475)",0001084475,NIHK,10-K,2025-04-16,0001641172-25-004927
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K,2023-06-14,0001161697-23-000356
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K/A,2020-07-31,0001161697-20-000345
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K,2025-05-29,0001641172-25-012903
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K/A,2019-11-04,0001161697-19-000466
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K/A,2024-05-29,0001493152-24-021767
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K/A,2019-08-29,0001161697-19-000356
"RadNet, Inc.  (RDNT)  (CIK 0000790526)",0000790526,RDNT,10-K,2024-02-29,0001628280-24-008035
DATASEA INC.  (DTSS)  (CIK 0001631282),0001631282,,10-K,2023-09-27,0001213900-23-079920
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K,2022-05-27,0001161697-22-000270
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K,2026-06-09,0001493152-26-027796
"Video River Networks, Inc.  (NIHK)  (CIK 0001084475)",0001084475,NIHK,10-K,2021-04-14,0001760319-21-000037
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K,2022-05-27,0001161697-22-000270
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K,2020-07-28,0001161697-20-000334
"Video River Networks, Inc.  (NIHK)  (CIK 0001084475)",0001084475,NIHK,10-K,2022-04-14,0001493152-22-009873
"Video River Networks, Inc.  (NIHK)  (CIK 0001084475)",0001084475,NIHK,10-K,2024-04-17,0001493152-24-015039
"Trinity Capital Inc.  (TRIN, TRINI, TRINZ)  (CIK 0001786108)",0001786108,TRINZ,10-K,2025-02-26,0000950170-25-027341
