companies,ciks,form,rootForms,fileDate,periodEnding,accessionNumber,fileNumbers,states,sics,indexUrl,scrapedAt
Aedan Financial Corp  (CIK 0001709587),0001709587,10-K/A,10-K,2019-08-01,2018-12-31,0001213900-19-014347,000-55807,CA,6770,https://www.sec.gov/Archives/edgar/data/1709587/000121390019014347/0001213900-19-014347-index.htm,2026-06-22T20:32:22.402Z
Kinetic Seas Inc.  (ECGR)  (CIK 0001945619),0001945619,10-K,10-K,2024-04-10,2023-12-31,0001683168-24-002276,000-56478,GA,6770,https://www.sec.gov/Archives/edgar/data/1945619/000168316824002276/0001683168-24-002276-index.htm,2026-06-22T20:32:22.425Z
Kinetic Seas Inc.  (ECGR)  (CIK 0001945619),0001945619,10-K/A,10-K,2024-09-26,2023-12-31,0001683168-24-006662,000-56478,IL,6770,https://www.sec.gov/Archives/edgar/data/1945619/000168316824006662/0001683168-24-006662-index.htm,2026-06-22T20:32:22.442Z
ARES CAPITAL CORP  (ARCC)  (CIK 0001287750),0001287750,10-K/A,10-K,2026-03-23,2025-12-31,0001628280-26-020560,814-00663,NY,,https://www.sec.gov/Archives/edgar/data/1287750/000162828026020560/0001628280-26-020560-index.htm,2026-06-22T20:32:22.507Z
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,10-K,10-K,2023-06-14,2023-02-28,0001161697-23-000356,000-55079,MI,3714,https://www.sec.gov/Archives/edgar/data/1498148/000116169723000356/0001161697-23-000356-index.htm,2026-06-22T20:32:22.535Z
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,10-K,10-K,2024-05-28,2024-02-29,0001493152-24-021634,000-55079,MI,7372,https://www.sec.gov/Archives/edgar/data/1498148/000149315224021634/0001493152-24-021634-index.htm,2026-06-22T20:32:22.596Z
"Nexscient, Inc.  (NXNT)  (CIK 0001976663)",0001976663,10-K,10-K,2025-09-30,2025-06-30,0001477932-25-007240,333-274532,CA,7372,https://www.sec.gov/Archives/edgar/data/1976663/000147793225007240/0001477932-25-007240-index.htm,2026-06-22T20:32:22.620Z
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,10-K/A,10-K,2024-05-29,2024-02-29,0001493152-24-021767,000-55079,MI,7372,https://www.sec.gov/Archives/edgar/data/1498148/000149315224021767/0001493152-24-021767-index.htm,2026-06-22T20:32:22.653Z
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,10-K,10-K,2025-05-29,2025-02-28,0001641172-25-012903,000-55079,MI,7372,https://www.sec.gov/Archives/edgar/data/1498148/000164117225012903/0001641172-25-012903-index.htm,2026-06-22T20:32:22.677Z
Singularity Future Technology Ltd.  (SGLY)  (CIK 0001422892),0001422892,10-K,10-K,2025-10-14,2025-06-30,0001213900-25-098514,001-34024,NY,4731,https://www.sec.gov/Archives/edgar/data/1422892/000121390025098514/0001213900-25-098514-index.htm,2026-06-22T20:32:22.746Z
Linkhome Holdings Inc.  (LHAI)  (CIK 0002017758),0002017758,10-K,10-K,2025-03-27,2024-12-31,0001013762-25-003420,333-280379,CA,6531,https://www.sec.gov/Archives/edgar/data/2017758/000101376225003420/0001013762-25-003420-index.htm,2026-06-22T20:32:22.783Z
